sizeof(XXX)	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
abort_msg_s	4 (struct)	4 (struct)	4 (struct)	???	???
accepted_reply	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
accept_stat	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ACTION	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
action	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
addrinfo	48 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
ad_private	1160 (struct)	1128 (struct)	1128 (struct)	1128 (struct)	1128 (struct)
ai_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
aliasent	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
alias_map	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
allowmask	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
arc	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
archmapped	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
area	360 (struct)	344 (struct)	344 (struct)	344 (struct)	344 (struct)
argp	56 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
argp_child	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
argp_fmtstream	72 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
argp_fmtstream_t	8 (argp_fmtstream*)	4 (argp_fmtstream*)	4 (argp_fmtstream*)	4 (argp_fmtstream*)	4 (argp_fmtstream*)
argp_option	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
argp_parser_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
argp_state	96 (struct)	56 (struct)	56 (struct)	56 (struct)	56 (struct)
atomic64_t	8 (long int)	???	8 (long long int)	???	???
audata	464 (struct)	432 (struct)	432 (struct)	432 (struct)	432 (struct)
auditstate	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
audit_ifaces	72 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
AUTH	72 (struct)	40 (struct)	40 (struct)	40 (struct)	40 (struct)
authdes_cred	40 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
authdes_fullname	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
authdes_namekind	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
authdes_verf	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
authnone_private_s	96 (struct)	64 (struct)	64 (struct)	64 (struct)	64 (struct)
authunix_parms	40 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
auth_errtab	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
auth_ops	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
auth_stat	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
base_table_t	???	12 (struct)	???	20 (struct)	12 (struct)
binding	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
bin_tree_storage_t	968 (struct)	996 (struct)	996 (struct)	996 (struct)	996 (struct)
bin_tree_t	64 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
bitset_t	8 (long unsigned int[])	4 (long unsigned int[])	4 (long unsigned int[])	4 (long unsigned int[])	4 (long unsigned int[])
bitset_word_t	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
bool_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
bracket_elem_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
bracket_elem_type	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
bsdcred	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
builtin_map	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
byte	1 (unsigned char)	???	1 (unsigned char)	1 (unsigned char)	???
cached_data	24 (struct)	16 (struct)	16 (struct)	???	???
cache_entry	40 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
cache_node	72 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
cache_ptr	8 (cache_node*)	4 (cache_node*)	4 (cache_node*)	4 (cache_node*)	4 (cache_node*)
caddr_t	8 (char*)	4 (char*)	4 (char*)	4 (char*)	4 (char*)
callrpc_private_s	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
call_body	80 (struct)	40 (struct)	40 (struct)	40 (struct)	40 (struct)
call_dl_lookup_args	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
catalog_info	56 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
catalog_obj	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
catnamestr_t	137 (struct)	137 (struct)	137 (struct)	137 (struct)	137 (struct)
cc_t	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)
char	1 (basic)	1 (basic)	1 (basic)	1 (basic)	1 (basic)
char16_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	???	???
cleanup_arg	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
CLIENT	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
clntraw_private_s	8904 (struct)	8864 (struct)	8864 (struct)	8864 (struct)	8864 (struct)
clnt_ops	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
clnt_stat	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
clockid_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
clock_t	8 (long int)	4 (long int)	8 (long long int)	4 (long int)	4 (long int)
cmd	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
cmessage	40 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
cmsghdr	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
codestrs_t_11	67 (struct)	67 (struct)	67 (struct)	???	???
codestrs_t_17	207 (struct)	207 (struct)	207 (struct)	???	???
codestrs_t_29	130 (struct)	130 (struct)	130 (struct)	???	???
codestrs_t_4	145 (struct)	145 (struct)	145 (struct)	???	???
codestrs_t_5	38 (struct)	38 (struct)	38 (struct)	???	???
codestrs_t_7	86 (struct)	86 (struct)	86 (struct)	???	???
codestrs_t_8	205 (struct)	205 (struct)	205 (struct)	???	???
coll_seq	??? (<anonymous>)	??? (<anonymous>)	???	???	???
coll_sort_rule	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
const_node	8 (node_t*)	4 (node_t*)	4 (node_t*)	4 (node_t*)	4 (node_t*)
converted_domain	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
cookie_io_functions_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
cpuid_registers	16 (struct)	???	16 (struct)	???	???
cpu_features	68 (struct)	???	52 (struct)	???	???
cpu_features_kind	4 (struct)	???	4 (struct)	???	???
cpu_set_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
cryptkeyarg	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
cryptkeyarg2	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
cryptkeyres	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
ct_data	248 (struct)	196 (struct)	208 (struct)	208 (struct)	208 (struct)
cu_data	160 (struct)	100 (struct)	120 (struct)	120 (struct)	120 (struct)
database_pers_head	120 (struct)	120 (struct)	120 (struct)	104 (struct)	104 (struct)
datahead	24 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
db_lookup_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
decoded_futex_operation	???	???	???	4 (struct)	4 (struct)
deleted_handler	16 (struct)	8 (struct)	8 (struct)	???	???
derivation_step	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
desdir	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
desmode	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
desparams	48 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
dests_alloc	12288 (struct)	11264 (struct)	11264 (struct)	11264 (struct)	11264 (struct)
des_block	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
dev_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
DIR	48 (__dirstream)	28 (__dirstream)	32 (__dirstream)	32 (__dirstream)	32 (__dirstream)
dirent	280 (struct)	268 (struct)	280 (struct)	280 (struct)	280 (struct)
dirent64	280 (struct)	276 (struct)	280 (struct)	280 (struct)	280 (struct)
dir_data	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
DItype	???	8 (long long int)	???	???	8 (???)
div_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
Dl_info	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
dl_open_hook	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
dl_phdr_info	64 (struct)	40 (struct)	40 (struct)	48 (struct)	40 (struct)
dl_scope_free_list	408 (struct)	204 (struct)	204 (struct)	204 (struct)	204 (struct)
dl_tls_index	16 (struct)	8 (struct)	16 (struct)	16 (struct)	8 (struct)
double	8 (basic)	8 (basic)	8 (basic)	8 (basic)	8 (basic)
do_dlopen_args	32 (struct)	16 (struct)	16 (struct)	12 (struct)	12 (struct)
do_dlsym_args	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
drand48_data	24 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
dtor_func	8 (<func>*)	4 (<func>*)	???	???	???
dtor_list	32 (struct)	16 (struct)	???	???	???
dtv	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
dtv_slotinfo	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
dtv_slotinfo_list	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
dtv_t	16 (dtv)	8 (dtv)	8 (dtv)	8 (dtv)	8 (dtv)
dwarf_call_frame_info	???	4 (struct)	???	???	4 (struct)
dwarf_cie	???	12 (struct)	???	???	12 (struct)
dwarf_eh_bases	???	12 (struct)	???	???	12 (struct)
dwarf_fde	???	8 (struct)	???	???	8 (struct)
DWstruct	???	8 (struct)	???	???	8 (struct)
DWunion	???	??? (<anonymous>)	???	???	??? (<anonymous>)
Elf32_Addr	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
Elf32_auxv_t	???	??? (<anonymous>)	??? (<anonymous>)	???	???
Elf32_Dyn	???	??? (<anonymous>)	??? (<anonymous>)	???	??? (<anonymous>)
Elf32_Ehdr	???	??? (<anonymous>)	??? (<anonymous>)	???	???
Elf32_Half	???	2 (short unsigned int)	2 (short unsigned int)	???	2 (short unsigned int)
Elf32_Off	???	4 (unsigned int)	4 (unsigned int)	???	4 (unsigned int)
Elf32_Phdr	???	??? (<anonymous>)	??? (<anonymous>)	???	??? (<anonymous>)
Elf32_Section	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
Elf32_Sword	???	4 (int)	4 (int)	???	4 (int)
Elf32_Sym	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
Elf32_Versym	???	2 (short unsigned int)	2 (short unsigned int)	???	2 (short unsigned int)
Elf32_Word	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
Elf64_Addr	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
Elf64_auxv_t	??? (<anonymous>)	???	???	???	???
Elf64_Dyn	??? (<anonymous>)	???	???	??? (<anonymous>)	???
Elf64_Ehdr	??? (<anonymous>)	???	???	??? (<anonymous>)	???
Elf64_Half	2 (short unsigned int)	???	???	2 (short unsigned int)	???
Elf64_Off	8 (long unsigned int)	???	???	8 (long long unsigned int)	???
Elf64_Phdr	??? (<anonymous>)	???	???	??? (<anonymous>)	???
Elf64_Section	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
Elf64_Sxword	8 (long int)	???	???	8 (???)	???
Elf64_Sym	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
Elf64_Versym	2 (short unsigned int)	???	???	2 (short unsigned int)	???
Elf64_Word	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
Elf64_Xword	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
Elf_Symndx	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
encoded_futex_operation	???	???	???	4 (struct)	4 (struct)
endent_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
end_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
ENTRY	16 (entry)	8 (entry)	8 (entry)	8 (entry)	8 (entry)
entry	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
enum_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
epoll_data	8 (struct)	???	8 (struct)	8 (struct)	8 (struct)
epoll_data_t	8 (epoll_data)	???	8 (epoll_data)	8 (epoll_data)	8 (epoll_data)
epoll_event	12 (struct)	???	12 (struct)	12 (struct)	16 (struct)
era_entry	72 (struct)	52 (struct)	52 (struct)	52 (struct)	52 (struct)
error_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
etherent	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
ether_addr	6 (struct)	6 (struct)	6 (struct)	6 (struct)	6 (struct)
eventfd_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
exit_function	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
exit_function_list	1040 (struct)	520 (struct)	520 (struct)	520 (struct)	520 (struct)
exit_status	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
expression	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
extra_entry	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
extra_entry_module	6 (struct)	6 (struct)	6 (struct)	6 (struct)	6 (struct)
fde	???	8 (dwarf_fde)	???	???	8 (dwarf_fde)
fde_accumulator	???	8 (struct)	???	???	8 (struct)
fde_compare_t	???	4 (<func>*)	???	???	4 (<func>*)
fde_table	???	8 (struct)	???	???	8 (struct)
fde_vector	???	8 (struct)	???	???	8 (struct)
fd_mask	8 (long int)	4 (long int)	4 (long int)	4 (long int)	4 (long int)
fd_set	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
FILE	216 (_IO_FILE)	148 (_IO_FILE)	152 (_IO_FILE)	152 (_IO_FILE)	152 (_IO_FILE)
float	4 (basic)	4 (basic)	4 (basic)	4 (basic)	4 (basic)
flock	32 (struct)	16 (struct)	32 (struct)	32 (struct)	32 (struct)
flock64	???	24 (struct)	???	???	???
fmemopen_cookie_struct	40 (struct)	28 (struct)	32 (struct)	32 (struct)	32 (struct)
fmemopen_cookie_t	40 (fmemopen_cookie_struct)	28 (fmemopen_cookie_struct)	32 (fmemopen_cookie_struct)	32 (fmemopen_cookie_struct)	32 (fmemopen_cookie_struct)
fnmatch_struct	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
fnwmatch_struct	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
fork_handler	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
fork_handler_pool	2312 (struct)	1348 (struct)	1348 (struct)	???	???
fpos_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
fpregset_t	8 (_libc_fpstate*)	???	4 (_libc_fpstate*)	4 (_libc_fpstate*)	4 (_libc_fpstate*)
fpu_control_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
framesf	???	4 (<func>*)	???	???	4 (<func>*)
frame_state	???	112 (struct)	???	???	112 (struct)
frame_state_reg_info	???	148 (struct)	???	???	148 (struct)
fstab	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
fstab_state	104 (struct)	60 (struct)	60 (struct)	60 (struct)	60 (struct)
FTS	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
FTSENT	120 (_ftsent)	72 (_ftsent)	80 (_ftsent)	80 (_ftsent)	80 (_ftsent)
FTW	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ftw_data	88 (struct)	52 (struct)	56 (struct)	56 (struct)	56 (struct)
f_owner_ex	8 (struct)	???	8 (struct)	???	???
gaih_addrtuple	40 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
gaih_service	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
gaih_servtuple	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gaih_typeproto	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
gconvcache_header	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gconv_alias	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
gconv_fcts	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
gconv_module	56 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
getcpu_cache	???	???	???	???	128 (struct)
getcredres	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
getent_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
getent_r_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
get_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
gidx_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
gid_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
glob64_t	???	??? (<anonymous>)	???	???	???
globnames	528 (struct)	264 (struct)	264 (struct)	264 (struct)	264 (struct)
glob_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
gmonparam	104 (struct)	52 (struct)	52 (struct)	52 (struct)	52 (struct)
gmon_cg_arc_record	20 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
gmon_hdr	???	???	???	20 (struct)	20 (struct)
gmon_hist_hdr	???	???	???	32 (struct)	32 (struct)
gregset_t	8 (long long int[])	???	4 (long long int[])	4 (long int[])	4 (int[])
greg_t	8 (long long int)	???	8 (long long int)	4 (long int)	4 (int)
group	72 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
group_filter	272 (struct)	268 (struct)	268 (struct)	268 (struct)	268 (struct)
gr_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
hashentry	32 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
hash_entry	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
hconf	72 (struct)	48 (struct)	48 (struct)	48 (struct)	48 (struct)
hdr	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
heap_info	32 (_heap_info)	16 (_heap_info)	24 (_heap_info)	16 (_heap_info)	16 (_heap_info)
helper_file	576 (struct)	356 (struct)	368 (struct)	368 (struct)	368 (struct)
hol	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
hol_cluster	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
hol_entry	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
hol_help_state	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
hostent	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
host_addr_list_t	8 (char*[])	4 (char*[])	4 (char*[])	4 (char*[])	4 (char*[])
host_addr_t	8 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])	4 (unsigned char[])
hp_timing_t	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	???
hsearch_data	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
hst_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
iaddr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
iconv_t	8 (void*)	4 (void*)	4 (void*)	4 (void*)	4 (void*)
idtype_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
id_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
ieee754_double	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
