sizeof(XXX)	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
ieee754_float	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ieee854_long_double	16 (struct)	12 (struct)	16 (struct)	16 (struct)	16 (struct)
ieee_double_shape_type	???	??? (<anonymous>)	???	??? (<anonymous>)	??? (<anonymous>)
ieee_float_shape_type	???	??? (<anonymous>)	???	??? (<anonymous>)	??? (<anonymous>)
ieee_long_double_shape_type	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	??? (<anonymous>)
ifaddrmsg	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ifaddrs	56 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
ifaddrs_storage	184 (struct)	156 (struct)	156 (struct)	156 (struct)	156 (struct)
ifconf	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ifinfomsg	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
ifmap	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
ifreq	40 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
if_nameindex	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
in6addrinfo	24 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
in6ailist	32 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
in6_addr	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
initgroups_dyn_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
initgr_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
innetgroup_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	???
ino64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
ino_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
int	4 (basic)	4 (basic)	4 (basic)	4 (basic)	4 (basic)
int16_t	2 (short int)	2 (short int)	2 (short int)	2 (short int)	2 (short int)
int32_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
int64_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
int8_t	1 (signed char)	1 (signed char)	1 (signed char)	1 (signed char)	1 (signed char)
intel_02_cache_info	8 (struct)	8 (struct)	8 (struct)	20 (struct)	20 (struct)
intmax_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
intptr_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
int_fast32_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
in_addr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
in_addr_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
in_pktinfo	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
in_port_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
iovec	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ip6_ext	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_hbh	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_opt	2 (struct)	2 (struct)	2 (struct)	2 (struct)	2 (struct)
ip6_rthdr	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ip6_rthdr0	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
ipc_kludge	???	8 (struct)	???	???	8 (struct)
ipc_perm	???	36 (struct)	???	???	36 (struct)
ip_msfilter	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
itimerval	32 (struct)	16 (struct)	32 (struct)	32 (struct)	32 (struct)
kernel_dirent	280 (struct)	268 (struct)	280 (struct)	???	???
kernel_dirent64	???	276 (struct)	280 (struct)	???	???
kernel_sigaction	152 (struct)	140 (struct)	140 (struct)	???	???
kernel_stat	???	64 (struct)	???	???	???
keybuf	8 (char[])	4 (char[])	4 (char[])	4 (char[])	4 (char[])
keystatus	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
key_call_private	16 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
key_netstarg	104 (struct)	100 (struct)	100 (struct)	100 (struct)	100 (struct)
key_netstres	112 (struct)	104 (struct)	104 (struct)	104 (struct)	104 (struct)
key_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
known_derivation	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
known_function	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
known_object	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
known_trans	88 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
known_translation_t	64 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
layout	???	8 (struct)	???	???	8 (struct)
La_alpha_regs	???	???	???	???	???
La_alpha_retval	???	???	???	???	???
La_i86_regs	???	20 (struct)	???	???	20 (struct)
La_i86_retval	???	32 (struct)	???	???	24 (struct)
La_ia64_regs	???	???	???	???	???
La_ia64_retval	???	???	???	???	???
La_ppc32_regs	???	???	???	???	???
La_ppc32_retval	???	???	???	???	???
La_ppc64_regs	???	???	???	???	???
La_ppc64_retval	???	???	???	???	???
La_s390_32_regs	???	???	???	???	???
La_s390_32_retval	???	???	???	???	???
La_s390_64_regs	???	???	???	???	???
La_s390_64_retval	???	???	???	???	???
La_sh_regs	???	???	???	???	???
La_sh_retval	???	???	???	???	???
La_sparc32_regs	???	???	???	???	???
La_sparc32_retval	???	???	???	???	???
La_sparc64_regs	???	???	???	???	???
La_x86_64_regs	704 (struct)	???	704 (struct)	192 (struct)	???
La_x86_64_retval	208 (struct)	???	208 (struct)	64 (struct)	???
La_x86_64_vector	??? (<anonymous>)	???	??? (<anonymous>)	???	???
La_x86_64_xmm	8 (float[])	???	4 (float[])	4 (float[])	???
La_x86_64_ymm	8 (float[])	???	4 (float[])	???	???
lconv	96 (struct)	56 (struct)	56 (struct)	56 (struct)	56 (struct)
lc_time_data	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
ldiv_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
leap	16 (struct)	8 (struct)	16 (struct)	16 (struct)	16 (struct)
libc_ifunc_impl	24 (struct)	12 (struct)	12 (struct)	???	???
libname_list	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
link_map	1136 (struct)	604 (struct)	600 (struct)	648 (struct)	600 (struct)
link_map_machine	24 (struct)	12 (struct)	12 (struct)	24 (struct)	12 (struct)
link_map_public	40 (struct)	20 (struct)	20 (struct)	24 (struct)	20 (struct)
link_map_reldeps	8 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
link_namespaces	144 (struct)	76 (struct)	84 (struct)	48 (struct)	36 (struct)
list_head	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
list_t	16 (list_head)	8 (list_head)	8 (list_head)	8 (list_head)	8 (list_head)
lldiv_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
Lmid_t	8 (long int)	4 (long int)	4 (long int)	4 (long int)	4 (long int)
loaded_domain	200 (struct)	104 (struct)	116 (struct)	128 (struct)	104 (struct)
loaded_l10nfile	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
locale_data	???	???	???	40 (struct)	40 (struct)
locale_data_value	8 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
locale_in_archive	120 (struct)	60 (struct)	60 (struct)	60 (struct)	60 (struct)
locale_t	8 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)
locarhead	56 (struct)	56 (struct)	56 (struct)	56 (struct)	56 (struct)
locked_FILE	600 (struct)	368 (struct)	376 (struct)	376 (struct)	376 (struct)
locked_map_ptr	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
locrecent	108 (struct)	108 (struct)	108 (struct)	108 (struct)	108 (struct)
loff_t	???	8 (long long int)	???	8 (???)	8 (???)
long double	16 (basic)	12 (basic)	16 (basic)	8 (basic)	8 (basic)
long int	8 (basic)	4 (basic)	4 (basic)	4 (basic)	4 (basic)
long long int	8 (basic)	8 (basic)	8 (basic)	???	???
long long unsigned int	8 (basic)	8 (basic)	8 (basic)	8 (basic)	8 (basic)
long unsigned int	8 (basic)	4 (basic)	4 (basic)	4 (basic)	4 (basic)
long_int	8 (long int)	8 (long long int)	8 (long long int)	???	???
lookup_actions	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
lookup_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
lookup_t	8 (link_map*)	4 (link_map*)	4 (link_map*)	4 (link_map*)	4 (link_map*)
mallinfo	40 (struct)	40 (struct)	40 (struct)	40 (struct)	40 (struct)
malloc_chunk	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
malloc_par	88 (struct)	52 (struct)	52 (struct)	48 (struct)	48 (struct)
malloc_save_state	2216 (struct)	1112 (struct)	1112 (struct)	1096 (struct)	1096 (struct)
malloc_state	2184 (struct)	1104 (struct)	1108 (struct)	1100 (struct)	1100 (struct)
mapped_database	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
mbinptr	8 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)
mbstate_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
mcheck_status	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
mchunkptr	8 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)
mcontext_t	??? (<anonymous>)	???	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
mfastbinptr	8 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)	4 (malloc_chunk*)
mmsghdr	64 (struct)	32 (struct)	32 (struct)	???	???
mntent	40 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
mode_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
module_entry	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
mo_file_header	48 (struct)	48 (struct)	48 (struct)	48 (struct)	48 (struct)
mp_limb_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
mp_power	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
mp_ptr	8 (long unsigned int*)	4 (long unsigned int*)	4 (long long unsigned int*)	4 (long unsigned int*)	4 (long unsigned int*)
mp_size_t	8 (long int)	4 (long int)	4 (long int)	4 (long int)	4 (long int)
mp_srcptr	8 (long unsigned int*)	4 (long unsigned int*)	4 (long long unsigned int*)	4 (long unsigned int*)	4 (long unsigned int*)
msg	???	???	???	???	???
msghdr	56 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
msglen_t	???	4 (long unsigned int)	???	???	4 (long unsigned int)
msgqnum_t	???	4 (long unsigned int)	???	???	4 (long unsigned int)
msgstr_t	485 (struct)	485 (struct)	485 (struct)	485 (struct)	485 (struct)
msg_type	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
msort_param	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
msqid_ds	???	88 (struct)	???	???	112 (struct)
mstate	8 (malloc_state*)	4 (malloc_state*)	4 (malloc_state*)	4 (malloc_state*)	4 (malloc_state*)
mutex_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
nacl_abi_blkcnt_t	???	???	???	4 (long int)	4 (long int)
nacl_abi_blksize_t	???	???	???	4 (long int)	4 (long int)
nacl_abi_dev_t	???	???	???	8 (???)	8 (???)
nacl_abi_dirent	???	???	???	280 (struct)	280 (struct)
nacl_abi_gid_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi_ino_t	???	???	???	8 (???)	8 (???)
nacl_abi_mode_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi_nlink_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi_off_t	???	???	???	8 (???)	8 (???)
nacl_abi_stat	???	???	???	104 (struct)	104 (struct)
nacl_abi_time_t	???	???	???	8 (???)	8 (???)
nacl_abi_uid_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi__off_t	???	???	???	8 (???)	8 (???)
nacl_abi___blkcnt_t	???	???	???	4 (long int)	4 (long int)
nacl_abi___blksize_t	???	???	???	4 (long int)	4 (long int)
nacl_abi___dev_t	???	???	???	8 (???)	8 (???)
nacl_abi___gid_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi___ino_t	???	???	???	8 (???)	8 (???)
nacl_abi___mode_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi___nlink_t	???	???	???	4 (unsigned int)	4 (unsigned int)
nacl_abi___time_t	???	???	???	8 (???)	8 (???)
nacl_abi___uid_t	???	???	???	4 (unsigned int)	4 (unsigned int)
namehashent	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
name_database	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
name_database_entry	24 (struct)	12 (struct)	12 (struct)	8 (struct)	8 (struct)
name_list	8 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
netaddr	12 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
netent	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
netgroup_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	???
netlink_handle	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
netlink_res	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
netname2user_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
netnamestr	8 (char*)	4 (char*)	4 (char*)	4 (char*)	4 (char*)
netobj	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
nfds_t	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
nlink_t	8 (long unsigned int)	4 (unsigned int)	8 (long long unsigned int)	4 (unsigned int)	4 (unsigned int)
nlmsgerr	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
nlmsghdr	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
nls_uint32	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
nl_catd	8 (void*)	4 (void*)	4 (void*)	4 (void*)	4 (void*)
nl_item	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
node	8 (node_t*)	4 (node_t*)	4 (node_t*)	4 (node_t*)	4 (node_t*)
node_t	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
nscd_ai_result	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
nscd_ssize_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
nscd_time_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
nss_getcanonname_r	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
nss_gethostbyname3_r	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
nss_gethostbyname4_r	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
nss_status	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ntptimeval	72 (struct)	36 (struct)	48 (struct)	24 (struct)	24 (struct)
object	???	24 (struct)	???	???	24 (struct)
obstack	88 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
obstack_FILE	232 (struct)	156 (struct)	168 (struct)	168 (struct)	168 (struct)
off64_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
off_t	8 (long int)	4 (long int)	8 (long long int)	8 (???)	8 (???)
old_kernel_dirent	???	268 (struct)	???	???	???
old_kernel_dirent64	???	276 (struct)	???	???	???
opaque_auth	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
operator	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
option	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
option_list	16 (struct)	8 (struct)	8 (struct)	???	???
parser	216 (struct)	128 (struct)	128 (struct)	128 (struct)	128 (struct)
parser_convert_state	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
parser_data	???	???	???	???	???
parser_sizes	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
parse_args	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
parse_cbs	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
passwd	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
path_elem	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
patternlist	16 (struct)	8 (struct)	8 (struct)	4 (struct)	4 (struct)
pentry_state	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
pid_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
pmap	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
pmaplist	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
pollfd	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
posix_spawnattr_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
posix_spawn_file_actions_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
prefixentry	24 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
prefixlist	32 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
printf_arg	16 (struct)	12 (struct)	16 (struct)	8 (struct)	8 (struct)
printf_arginfo_function	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
printf_arginfo_size_function	??? (<func>)	??? (<func>)	??? (<func>)	???	???
printf_function	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
printf_info	20 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
printf_modifier_record	16 (struct)	8 (struct)	8 (struct)	???	???
printf_spec	72 (struct)	52 (struct)	52 (struct)	48 (struct)	48 (struct)
printf_va_arg_function	??? (<func>)	??? (<func>)	??? (<func>)	???	???
priority_protection_data	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
prof	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
prof_info	216 (struct)	172 (struct)	192 (struct)	192 (struct)	192 (struct)
proglst_	40 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
protoent	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
pthread	2304 (struct)	1216 (struct)	1728 (struct)	1216 (struct)	1152 (struct)
pthread_attr_t	56 (struct)	36 (struct)	32 (struct)	??? (<anonymous>)	??? (<anonymous>)
pthread_condattr_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_cond_2_0_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_cond_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_functions	432 (struct)	216 (struct)	216 (struct)	212 (struct)	212 (struct)
pthread_key_data	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
pthread_key_struct	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
pthread_key_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
pthread_mutexattr_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_mutex_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_once_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
pthread_rwlock_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
pthread_t	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
pthread_unwind_buf	104 (struct)	44 (struct)	88 (struct)	88 (struct)	44 (struct)
ptime_locale_status	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
ptrdiff_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
ptrhack	432 (struct)	216 (struct)	216 (struct)	212 (struct)	212 (struct)
ptrs_to_free	272 (struct)	136 (struct)	136 (struct)	136 (struct)	136 (struct)
public_function	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
pw_response_header	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
qelem	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
quad_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
random_data	48 (struct)	28 (struct)	28 (struct)	28 (struct)	28 (struct)
