sizeof(XXX)	libc-2.18-x64	libc-2.18-i686	libc-2.17-x32	libc-2.9-nacl-x64	libc-2.9-nacl-i686
wint_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
wordexp_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
XDR	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
xdrproc_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
xdr_discrim	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
xdr_op	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
xdr_ops	80 (struct)	40 (struct)	40 (struct)	40 (struct)	40 (struct)
XFtype	???	12 (long double)	???	???	???
xid_command	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
xprt_stat	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
xp_ops	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
yyalloc	8 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
yystype	???	???	???	??? (<anonymous>)	??? (<anonymous>)
YYSTYPE	8 (struct)	4 (struct)	4 (struct)	???	???
yytype_int16	2 (short int)	2 (short int)	2 (short int)	???	???
yytype_int8	1 (signed char)	1 (signed char)	1 (signed char)	???	???
yytype_uint8	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	???	???
_Bool	1 (basic)	1 (basic)	1 (basic)	1 (basic)	1 (basic)
_ENTRY	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
_fpreg	???	10 (struct)	???	???	10 (struct)
_fpstate	512 (struct)	624 (struct)	512 (struct)	512 (struct)	624 (struct)
_fpxreg	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
_ftsent	120 (struct)	72 (struct)	80 (struct)	80 (struct)	80 (struct)
_getopt_data	56 (struct)	40 (struct)	40 (struct)	40 (struct)	40 (struct)
_G_fpos64_t	???	??? (<anonymous>)	???	???	???
_G_fpos_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_G_iconv_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_heap_info	32 (struct)	16 (struct)	24 (struct)	16 (struct)	16 (struct)
_IO_alloc_type	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_close_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_codecvt	208 (struct)	120 (struct)	120 (struct)	120 (struct)	120 (struct)
_IO_cookie_file	264 (struct)	172 (struct)	184 (struct)	184 (struct)	184 (struct)
_IO_cookie_io_functions_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_IO_doallocate_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_FILE	216 (struct)	148 (struct)	152 (struct)	152 (struct)	152 (struct)
_IO_FILE_complete	???	148 (struct)	???	???	152 (struct)
_IO_FILE_complete_plus	???	152 (struct)	???	???	160 (struct)
_IO_FILE_memstream	256 (struct)	168 (struct)	176 (struct)	176 (struct)	176 (struct)
_IO_FILE_plus	224 (struct)	152 (struct)	160 (struct)	160 (struct)	160 (struct)
_IO_FILE_wmemstream	256 (struct)	168 (struct)	176 (struct)	176 (struct)	176 (struct)
_IO_finish_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_free_type	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_imbue_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_ITER	8 (_IO_FILE*)	4 (_IO_FILE*)	4 (_IO_FILE*)	4 (_IO_FILE*)	4 (_IO_FILE*)
_IO_jump_t	168 (struct)	84 (struct)	84 (struct)	84 (struct)	84 (struct)
_IO_lock_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_IO_marker	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
_IO_obstack_file	232 (struct)	156 (struct)	168 (struct)	168 (struct)	168 (struct)
_IO_overflow_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_pbackfail_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_proc_file	240 (struct)	160 (struct)	168 (struct)	168 (struct)	168 (struct)
_IO_read_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_seekoff_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_seekpos_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_seek_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_setbuf_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_showmanyc_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_stat_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_streambuf	224 (struct)	152 (struct)	160 (struct)	160 (struct)	160 (struct)
_IO_strfile	240 (_IO_strfile_)	160 (_IO_strfile_)	168 (_IO_strfile_)	168 (_IO_strfile_)	168 (_IO_strfile_)
_IO_strfile_	240 (struct)	160 (struct)	168 (struct)	168 (struct)	168 (struct)
_IO_strnfile	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_IO_str_fields	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
_IO_sync_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_underflow_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_wide_data	328 (struct)	188 (struct)	188 (struct)	188 (struct)	188 (struct)
_IO_write_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_wstrnfile	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_IO_xsgetn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_IO_xsputn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_libc_fpreg	???	???	???	???	10 (struct)
_libc_fpstate	512 (struct)	???	512 (struct)	512 (struct)	112 (struct)
_libc_fpxreg	16 (struct)	???	16 (struct)	16 (struct)	???
_libc_xmmreg	16 (struct)	???	16 (struct)	16 (struct)	???
_obstack_chunk	24 (struct)	12 (struct)	12 (struct)	12 (struct)	12 (struct)
_pthread_cleanup_buffer	32 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
_Unwind_Action	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
_Unwind_Context	???	100 (struct)	???	???	100 (struct)
_Unwind_Exception	32 (struct)	32 (struct)	32 (struct)	32 (struct)	32 (struct)
_Unwind_Exception_Class	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
_Unwind_Exception_Cleanup_Fn	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_Unwind_FrameState	???	??? (<anonymous>)	???	???	??? (<anonymous>)
_Unwind_Internal_Ptr	???	4 (unsigned int)	???	???	4 (unsigned int)
_Unwind_Personality_Fn	???	4 (<func>*)	???	???	4 (<func>*)
_Unwind_Ptr	8 (long unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
_Unwind_Reason_Code	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
_Unwind_Sword	???	4 (int)	???	???	4 (int)
_Unwind_Trace_Fn	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
_Unwind_Word	8 (long unsigned int)	4 (unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	4 (unsigned int)
_xmmreg	16 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
__128bits	??? (<anonymous>)	???	??? (<anonymous>)	???	???
__action_fn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__bb	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
__blkcnt64_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
__blkcnt_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__blksize_t	8 (long int)	4 (long int)	8 (long long int)	8 (???)	8 (???)
__caddr_t	8 (char*)	4 (char*)	4 (char*)	4 (char*)	4 (char*)
__clockid_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__clock_t	8 (long int)	4 (long int)	8 (long long int)	4 (long int)	4 (long int)
__codecvt_result	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__compar_d_fn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__compar_fn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__CONST_SOCKADDR_ARG	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	???	???
__cpu_mask	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
__daddr_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__dev_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__dirstream	48 (struct)	28 (struct)	32 (struct)	32 (struct)	32 (struct)
__dispatch_fn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	???	???
__exit_status	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__fd_mask	8 (long int)	4 (long int)	4 (long int)	4 (long int)	4 (long int)
__FILE	216 (_IO_FILE)	148 (_IO_FILE)	152 (_IO_FILE)	152 (_IO_FILE)	152 (_IO_FILE)
__free_fn_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__fsblkcnt64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__fsblkcnt_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__fsfilcnt64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__fsfilcnt_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__fsid_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__fsword_t	8 (long int)	4 (int)	8 (long long int)	???	???
__ftw64_func_t	???	4 (<func>*)	???	???	???
__ftw_func_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_btowc_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_end_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_info	16 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
__gconv_init_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_loaded_object	48 (struct)	24 (struct)	24 (struct)	24 (struct)	24 (struct)
__gconv_step	104 (struct)	60 (struct)	60 (struct)	60 (struct)	60 (struct)
__gconv_step_data	56 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
__gconv_t	8 (__gconv_info*)	4 (__gconv_info*)	4 (__gconv_info*)	4 (__gconv_info*)	4 (__gconv_info*)
__gconv_trans_context_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_trans_data	40 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
__gconv_trans_end_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_trans_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_trans_init_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gconv_trans_query_fct	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__gid_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__gnuc_va_list	8 (__va_list_tag[])	4 (char*)	4 (__va_list_tag[])	4 (__va_list_tag[])	4 (__va_list_tag[])
__gwchar_t	4 (int)	4 (long int)	4 (long int)	???	???
__id_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__ino64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__ino_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__int128 unsigned	16 (basic)	???	???	???	???
__int32_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__intptr_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
__io_close_fn	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
__io_read_fn	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
__io_seek_fn	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
__io_write_fn	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)	??? (<func>)
__ipc_pid_t	???	2 (short unsigned int)	???	???	2 (short unsigned int)
__itimer_which	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__jmp_buf	8 (long int[])	4 (int[])	4 (long long int[])	4 (???[])	4 (int[])
__jmp_buf_tag	200 (struct)	156 (struct)	200 (struct)	200 (struct)	156 (struct)
__kernel_long_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__kernel_off_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__kernel_sa_family_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	???	???
__kernel_termios	36 (struct)	36 (struct)	36 (struct)	36 (struct)	36 (struct)
__key_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__libc_key_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__libc_lock_recursive_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__libc_lock_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__libc_rwlock_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__locale_data	64 (struct)	36 (struct)	40 (struct)	???	???
__locale_struct	232 (struct)	116 (struct)	116 (struct)	116 (struct)	116 (struct)
__locale_t	8 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)	4 (__locale_struct*)
__loff_t	???	8 (long long int)	???	8 (???)	8 (???)
__m128i	8 (long long int[])	???	4 (long long int[])	???	???
__mbstate_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__mode_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__netgrent	88 (struct)	44 (struct)	44 (struct)	44 (struct)	44 (struct)
__nftw64_func_t	???	4 (<func>*)	???	???	???
__nftw_func_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__nlink_t	8 (long unsigned int)	4 (unsigned int)	8 (long long unsigned int)	4 (unsigned int)	4 (unsigned int)
__nl_catd	8 (catalog_info*)	4 (catalog_info*)	4 (catalog_info*)	4 (catalog_info*)	4 (catalog_info*)
__ns_sect	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__off64_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
__off_t	8 (long int)	4 (long int)	8 (long long int)	8 (???)	8 (???)
__old_dirent64	???	272 (struct)	???	???	???
__old_ipc_perm	???	16 (struct)	???	???	16 (struct)
__old_msqid_ds	???	56 (struct)	???	???	72 (struct)
__old_semid_ds	???	44 (struct)	???	???	56 (struct)
__old_shmid_ds	???	48 (struct)	???	???	64 (struct)
__pid_t	4 (int)	4 (int)	4 (int)	4 (int)	4 (int)
__pid_type	4 (struct)	???	4 (struct)	???	???
__priority_which	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__priority_which_t	4 (__priority_which)	4 (__priority_which)	4 (__priority_which)	???	???
__pthread_cleanup_frame	24 (struct)	16 (struct)	16 (struct)	16 (struct)	16 (struct)
__pthread_internal_list	16 (struct)	???	8 (struct)	8 (struct)	???
__pthread_internal_slist	???	4 (struct)	???	???	4 (struct)
__pthread_list_t	16 (__pthread_internal_list)	???	8 (__pthread_internal_list)	8 (__pthread_internal_list)	???
__pthread_mutex_s	40 (struct)	24 (struct)	32 (struct)	32 (struct)	24 (struct)
__pthread_slist_t	???	4 (__pthread_internal_slist)	???	???	4 (__pthread_internal_slist)
__pthread_unwind_buf_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__ptrace_request	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__quad_t	8 (long int)	8 (long long int)	8 (long long int)	8 (???)	8 (???)
__res_state	568 (struct)	512 (struct)	512 (struct)	512 (struct)	512 (struct)
__rlim64_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	???	???
__rlimit_resource	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__rlimit_resource_t	4 (__rlimit_resource)	4 (__rlimit_resource)	4 (__rlimit_resource)	???	???
__rlim_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__rtld_lock_recursive_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__rusage_who	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__sigchld_clock_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__sighandler_t	8 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)	4 (<func>*)
__sigset_t	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__size_t	8 (long unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__SOCKADDR_ARG	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
__socket_type	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__socklen_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__spawn_action	32 (struct)	20 (struct)	20 (struct)	20 (struct)	20 (struct)
__ssize_t	8 (long int)	4 (int)	4 (int)	4 (int)	4 (int)
__strptime_state	8 (struct)	8 (struct)	8 (struct)	8 (struct)	8 (struct)
__str_list	???	???	???	12 (struct)	12 (struct)
__suseconds_t	8 (long int)	4 (long int)	8 (long long int)	4 (long int)	4 (long int)
__syscall_slong_t	8 (long int)	4 (long int)	8 (long long int)	???	???
__syscall_ulong_t	8 (long unsigned int)	4 (long unsigned int)	8 (long long unsigned int)	???	???
__sysctl_args	80 (struct)	40 (struct)	???	40 (struct)	40 (struct)
__time_t	8 (long int)	4 (long int)	8 (long long int)	8 (???)	8 (???)
__u16	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__u32	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u8	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)
__uid_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__uint16_t	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__uint32_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__uint64_t	8 (long unsigned int)	???	8 (long long unsigned int)	8 (long long unsigned int)	???
__useconds_t	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u_char	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)	1 (unsigned char)
__u_int	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)	4 (unsigned int)
__u_long	8 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)	4 (long unsigned int)
__u_quad_t	8 (long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)	8 (long long unsigned int)
__u_short	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)	2 (short unsigned int)
__v16qi	8 (char[])	???	4 (char[])	???	???
__v2di	???	???	4 (long long int[])	???	???
__v4si	???	???	4 (int[])	???	???
__va_list_tag	24 (struct)	???	16 (struct)	16 (struct)	16 (struct)
__vlimit_resource	4 (struct)	4 (struct)	4 (struct)	4 (struct)	4 (struct)
__WAIT_STATUS	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)	??? (<anonymous>)
____libc_atexit_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
____libc_subfreeres_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
____libc_thread_subfreeres_hook_function_t	??? (<func>)	??? (<func>)	??? (<func>)	???	???
???	???	???	???	8 (basic)	8 (basic)
